Project: 8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description: VIP Liner Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMP  ,0,0,0,0,0,3023,,,,,,,,,,,,,,,,,,,,,,,0,3023,0,-3023,COMP  
,ENG   ,0,2807,270187,404126,1821,89394,49.09,,,,,,,,,,,,,,,,,,,,,,0,89394,2807,180793,ENG   
,PROD  ,0,378,27749,38648,23,642,27.91,,,,,,,,,,,,,,,,,,,,,,0,642,378,27107,PROD  
,QUAL  ,0,37,2712,3783,1,21,21,,,,,,,,,,,,,,,,,,,,,,0,21,37,2691,QUAL  
,RAW   ,0,0,93446,126615,0,52988,,,,,,,,,,,,,,,,,,,,,,,0,52988,0,40458,RAW   
,REVE  ,0,0,3400,3767,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3400,REVE  
,STORES,0,19,1317,1744,43,725,16.86,,,,,,,,,,,,,,,,,,,,,,0,725,19,592,STORES
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase FLOR Total,3241,398811,578683,1888,146793,48.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146793,3241,252018,Total Phase FLOR
,,Phase FLOR Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,179872,31.08,431890,74.63,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,LINE
,COMP  ,0,0,0,0,0,64150,,,,,,,,,,,,,,,,,,,,,,,0,64150,0,-64150,COMP  
,ENG   ,0,5144,494801,316922,6046,232685,38.49,,,,,,,,,,,,,,,,,,,,,,0,232685,5144,262116,ENG   
,LAYUP ,0,728,51113,74889,332,4773,14.38,,,,,,,,,,,,,,,,,,,,,,0,4773,728,46340,LAYUP 
,PROD  ,0,3145,230874,320444,3233,58447,18,,,,,,,,,,,,,,,,,,,,,,0,58447,3145,172427,PROD  
,QUAL  ,0,380,27858,39076,263,4887,18.58,,,,,,,,,,,,,,,,,,,,,,0,4887,380,22971,QUAL  
,RAW   ,0,0,294577,395140,0,170487,,,,,,,,,,,,,,,,,,,,,,,0,170487,0,124090,RAW   
,REVE  ,0,0,23500,23500,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,23500,REVE  
,STORES,0,190,13171,18268,238,3495,14.68,,,,,,,,,,,,,,,,,,,,,,0,3495,190,9676,STORES
,TOOL  ,0,94,7040,7671,211,4422,20.96,,,,,,,,,,,,,,,,,,,,,,0,4422,94,2618,TOOL  
,TOOLM ,0,0,10832,11402,0,2585,,,,,,,,,,,,,,,,,,,,,,,0,2585,0,8247,TOOLM 
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase LINE Total,9681,1153766,1207312,10323,545931,29.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545931,9681,607835,Total Phase LINE
,,Phase LINE Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,53546,4.44,661381,54.78,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: MASY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,MASY
,ENG   ,0,5402,519672,857038,7319,375382,51.29,,,,,,,,,,,,,,,,,,,,,,0,375382,5402,144290,ENG   
,PROD  ,0,0,0,0,34,654,19.24,,,,,,,,,,,,,,,,,,,,,,0,654,0,-654,PROD  
,QUAL  ,0,0,0,0,3,53,17.67,,,,,,,,,,,,,,,,,,,,,,0,53,0,-53,QUAL  
,RAW   ,0,0,0,0,0,193921,,,,,,,,,,,,,,,,,,,,,,,0,193921,0,-193921,RAW   
,REVE  ,0,0,210000,383393,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,210000,REVE  
,STORES,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,STORES
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase MASY Total,5402,729672,1240431,7356,570010,51.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570010,5402,159662,Total Phase MASY
,,Phase MASY Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,510759,41.18,670421,54.05,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: MINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,MINT
,COMP  ,0,0,0,0,0,30958,,,,,,,,,,,,,,,,,,,,,,,0,30958,0,-30958,COMP  
,ENG   ,0,3007,289003,488391,3595,153248,42.63,,,,,,,,,,,,,,,,,,,,,,0,153248,3007,135755,ENG   
,LAYUP ,0,0,0,0,1,17,17,,,,,,,,,,,,,,,,,,,,,,0,17,0,-17,LAYUP 
,PROD  ,0,66,4845,7093,105,1898,18.08,,,,,,,,,,,,,,,,,,,,,,0,1898,66,2947,PROD  
,QUAL  ,0,4,293,427,56,1035,18.48,,,,,,,,,,,,,,,,,,,,,,0,1035,4,-742,QUAL  
,RAW   ,0,0,80239,109393,0,47702,,,,,,,,,,,,,,,,,,,,,,,0,47702,0,32537,RAW   
,STORES,0,2,139,202,113,1909,16.89,,,,,,,,,,,,,,,,,,,,,,0,1909,2,-1770,STORES
,TOOLM ,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,0,9,0,-9,TOOLM 
